Time,localhost:9545,localhost:9546,localhost:9547,localhost:9548,localhost:9549,localhost:9550,localhost:9551,localhost:9552,localhost:9553,localhost:9554,localhost:9555,localhost:9556
2020-03-23T00:01:00+11:00,2.007197183,2.007204225,1.993125874,2.007190141,1.993146853,1.993167832,1.993160839,2.007204225,1.993167832,1.993055944,2.007190141,1.993146853
2020-03-23T00:02:00+11:00,2.007112676,2.007112676,1.993062937,2.007112676,1.993048951,1.993083916,1.993041958,2.007112676,2.007147887,1.993090909,2.007112676,1.99306993
2020-03-23T00:03:00+11:00,2.007077465,2.007077465,1.993062937,2.007105634,1.99293007,1.993055944,1.993013986,2.007119718,1.993048951,2.007042254,2.007105634,1.99306993
2020-03-23T00:04:00+11:00,2.007105634,2.007077465,1.993090909,2.007105634,1.992986014,1.993097902,1.993006993,2.007105634,2.007049296,1.993055944,2.007133803,1.993076923
2020-03-23T00:05:00+11:00,2.007098592,2.007098592,1.99306993,2.007126761,1.993041958,1.993083916,1.993006993,2.007133803,1.99306993,1.993055944,2.007105634,1.993062937
2020-03-23T00:06:00+11:00,2.007091549,2.007105634,1.993076923,2.007091549,1.993020979,1.993090909,1.993062937,2.007084507,1.993041958,2.007098592,2.007105634,1.993076923
2020-03-23T00:07:00+11:00,2.007112676,2.007077465,1.993041958,2.007098592,1.993006993,1.993083916,1.993062937,2.007070423,1.993062937,2.007091549,2.007098592,1.993055944
2020-03-23T00:08:00+11:00,2.007098592,2.007098592,1.993062937,1.99306993,1.993006993,1.99306993,1.993076923,2.007112676,1.99306993,2.007112676,2.007105634,1.993048951
2020-03-23T00:09:00+11:00,2.007105634,2.007112676,1.993083916,1.993230769,1.993048951,1.993076923,1.993076923,2.007119718,2.007133803,2.007112676,2.007105634,1.993027972
2020-03-23T00:10:00+11:00,2.007105634,2.007119718,1.99306993,1.99306993,1.992993007,1.993062937,1.993083916,2.007126761,1.993076923,1.99306993,2.007070423,1.993062937
2020-03-23T00:11:00+11:00,2.007105634,2.007119718,1.993083916,2.007091549,1.992979021,1.993055944,1.993090909,2.007091549,2.007133803,2.007112676,2.007077465,1.993034965
2020-03-23T00:12:00+11:00,2.007112676,2.007112676,1.993083916,1.993097902,1.993006993,1.99306993,1.993048951,2.007091549,1.993083916,1.992937063,2.007070423,1.993055944
2020-03-23T00:13:00+11:00,2.007112676,2.007119718,1.993083916,2.007105634,1.99306993,1.993076923,1.993097902,2.007091549,2.007105634,2.007119718,2.007070423,1.993076923
2020-03-23T00:14:00+11:00,2.007112676,2.007105634,1.993048951,1.993118881,1.993013986,1.993048951,1.99306993,2.007112676,1.993083916,1.99306993,2.007112676,1.993062937
2020-03-23T00:15:00+11:00,2.007133803,2.007112676,1.993090909,2.007112676,1.993118881,1.99306993,1.993132867,2.007126761,1.993083916,2.007126761,2.007133803,1.993083916
2020-03-23T00:16:00+11:00,2.007161972,2.007211268,1.993188811,1.993160839,1.993146853,1.993188811,1.993195804,2.007204225,2.007204225,2.007204225,2.007197183,1.993153846
2020-03-23T00:17:00+11:00,2.007176056,2.007211268,1.99313986,2.007190141,1.993181818,1.993160839,1.993160839,2.007197183,2.007211268,2.007197183,2.007161972,1.993181818
2020-03-23T00:18:00+11:00,2.007161972,2.007211268,1.99313986,1.993167832,1.993146853,1.993153846,1.993153846,2.007211268,2.007190141,2.007204225,2.007169014,1.993153846
2020-03-23T00:19:00+11:00,2.007183099,2.007197183,1.993153846,1.993125874,1.993174825,1.99313986,1.993160839,2.007183099,2.007197183,2.007169014,2.007169014,1.993132867
2020-03-23T00:20:00+11:00,2.007098592,2.007126761,1.993083916,2.007119718,1.993097902,1.993076923,1.993104895,2.007112676,2.007161972,2.007133803,2.007105634,1.993090909
2020-03-23T00:21:00+11:00,2.007112676,2.007105634,1.993083916,1.993041958,1.993027972,1.993076923,1.993055944,2.007084507,2.007091549,2.007070423,2.007084507,1.99306993
2020-03-23T00:22:00+11:00,2.007112676,2.007070423,1.993062937,2.007126761,1.992993007,1.993083916,1.993090909,2.007084507,2.007084507,2.007084507,2.007147887,1.993076923
2020-03-23T00:23:00+11:00,2.007112676,2.007084507,1.993090909,2.007112676,1.992986014,1.993055944,1.993006993,2.007070423,2.007112676,2.007091549,2.007091549,1.993083916
2020-03-23T00:24:00+11:00,2.007169014,2.007147887,1.993090909,2.007161972,1.993118881,1.993111888,1.993132867,2.007197183,1.992958042,1.993048951,2.007147887,1.993125874
