Time,CPU Time IRate [localhost:9545],CPU Time IRate [localhost:9546],CPU Time IRate [localhost:9547],CPU Time IRate [localhost:9548],CPU Time IRate [localhost:9549],CPU Time IRate [localhost:9550],CPU Time IRate [localhost:9551],CPU Time IRate [localhost:9552],CPU Time IRate [localhost:9553],CPU Time IRate [localhost:9554],CPU Time IRate [localhost:9555],CPU Time IRate [localhost:9556]
2020-03-22T23:45:30+11:00,0.066150877,0.071020868,0.080989931,0.073993,0.082994134,0.0755584,0.018441674,0.025201933,0.01502133,0.014648173,0.019701667,0.024455139
2020-03-22T23:46:00+11:00,0.062209136,0.073703499,0.071468502,0.074529635,0.07719432,0.071836767,0.013208161,0.015196159,0.014401907,0.0134792,0.026694835,0.020473133
2020-03-22T23:46:30+11:00,0.064860095,0.072833311,0.07579784,0.076384708,0.0798524,0.0752316,0.013683554,0.013494335,0.020532698,0.01465158,0.018419733,0.019739
2020-03-22T23:47:00+11:00,0.062303093,0.0703714,0.075918322,0.075390754,0.079345667,0.071262165,0.014276311,0.018547413,0.015210333,0.014195374,0.0185248,0.0206168
2020-03-22T23:47:30+11:00,0.074861763,0.080891296,0.079030133,0.072178788,0.082985602,0.079128391,0.038456127,0.014557008,0.013968138,0.024416639,0.026571667,0.031894186
2020-03-22T23:48:00+11:00,0.06782582,0.074062383,0.077892674,0.074189854,0.08180076,0.07495094,0.022747001,0.018473168,0.014875966,0.015286686,0.018333178,0.021444437
2020-03-22T23:48:30+11:00,0.067211309,0.073890193,0.079924852,0.077132924,0.08003601,0.079142876,0.014169577,0.014010065,0.015187212,0.012972717,0.018036598,0.022320445
2020-03-22T23:49:00+11:00,0.0660176,0.071815333,0.080182642,0.075126925,0.081387338,0.0728544,0.014058486,0.016071729,0.013177467,0.01310128,0.02134291,0.021262853
2020-03-22T23:49:30+11:00,0.067614118,0.069015399,0.079431658,0.075168855,0.079273412,0.074337777,0.017104281,0.012759235,0.013860228,0.014671354,0.073042797,0.023109778
2020-03-22T23:50:00+11:00,0.065673422,0.071272164,0.085884585,0.076955933,0.078339957,0.097120208,0.013525547,0.012727412,0.013635115,0.015330911,0.019440616,0.0347336
2020-03-22T23:50:30+11:00,0.065141333,0.082863267,0.078151333,0.077395681,0.078638467,0.075931738,0.013292548,0.054231929,0.014091854,0.032860943,0.023565029,0.022830166
2020-03-22T23:51:00+11:00,0.068880224,0.07174795,0.078891519,0.0750686,0.080742,0.073327312,0.013482667,0.013707619,0.014805765,0.013567753,0.016972733,0.020886533
2020-03-22T23:51:30+11:00,0.06844683,0.069765345,0.08347011,0.077534364,0.085594933,0.075529659,0.018279219,0.018828979,0.01285908,0.013482961,0.0180792,0.021902467
2020-03-22T23:52:00+11:00,0.070238083,0.077471576,0.081115749,0.077271182,0.080614144,0.073381682,0.013818891,0.013440741,0.014442663,0.014232451,0.025099467,0.021054796
2020-03-22T23:52:30+11:00,0.0670058,0.074144296,0.080521229,0.079189921,0.081776704,0.073425192,0.013444252,0.012620593,0.019691559,0.013076333,0.019710325,0.020402945
2020-03-22T23:53:00+11:00,0.063754,0.072613445,0.075973067,0.077743434,0.081811079,0.075212267,0.01381423,0.013365787,0.015602573,0.014269182,0.020075928,0.019491367
2020-03-22T23:53:30+11:00,0.065419011,0.071380393,0.079430229,0.076231882,0.0866626,0.074929733,0.013778578,0.01256442,0.013928671,0.013163765,0.020395372,0.0210814
2020-03-22T23:54:00+11:00,0.068088641,0.072445208,0.0753874,0.07660516,0.077484867,0.073835733,0.013527432,0.013487802,0.012615277,0.012642232,0.017809813,0.021584894
2020-03-22T23:54:30+11:00,0.065739014,0.070093873,0.078533462,0.073784148,0.080942204,0.074658467,0.013869475,0.01679952,0.016965206,0.017222022,0.039631267,0.026651223
2020-03-22T23:55:00+11:00,0.072896513,0.067386267,0.0789352,0.074183,0.091410973,0.075022997,0.013021067,0.012585384,0.014007999,0.013216828,0.017200453,0.020613533
2020-03-22T23:55:30+11:00,0.064641971,0.069432504,0.079959405,0.082521133,0.084904813,0.073481235,0.013533369,0.013637224,0.013865164,0.012865177,0.02059536,0.021085339
2020-03-22T23:56:00+11:00,0.064612333,0.068704706,0.08025185,0.0767906,0.080328734,0.074700953,0.01330562,0.012436696,0.015300027,0.014169,0.018190467,0.019871258
2020-03-22T23:56:30+11:00,0.065644647,0.071484034,0.082413149,0.074229067,0.081141733,0.074286581,0.013340557,0.018140361,0.0147525,0.012328285,0.0177286,0.020265218
2020-03-22T23:57:00+11:00,0.063843677,0.070847487,0.079069947,0.078508761,0.080705286,0.0750698,0.015606721,0.013671089,0.014093121,0.014176965,0.0203566,0.020546267
2020-03-22T23:57:30+11:00,0.063579755,0.072141914,0.084228318,0.072037664,0.082046933,0.073773985,0.025256,0.012437704,0.014271315,0.012394728,0.0181356,0.020841667
2020-03-22T23:58:00+11:00,0.064858295,0.070105144,0.07820485,0.09596302,0.078583939,0.073467449,0.0136754,0.012778689,0.016996401,0.01262149,0.018344929,0.021616753
